Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-29-37: Main: 11385, Feed: 5.1312
2026-01-12 17-29-38: Main: 11415, Feed: 5.1312
2026-01-12 17-29-40: Main: 11445, Feed: 5.1312
2026-01-12 17-29-41: Main: 11475, Feed: 5.1312
2026-01-12 17-29-42: Main: 11505, Feed: 5.1312
2026-01-12 17-29-43: Main: 11535, Feed: 5.1312
2026-01-12 17-29-44: Main: 11565, Feed: 5.1312
2026-01-12 17-29-45: Main: 11595, Feed: 5.1312
2026-01-12 17-29-46: Main: 11610, Feed: 5.1312
2026-01-12 17-29-47: Main: 11640, Feed: 5.1312
2026-01-12 17-29-48: Main: 11670, Feed: 5.1312
2026-01-12 17-29-49: Main: 11700, Feed: 5.1312
2026-01-12 17-29-50: Main: 11730, Feed: 5.1312
2026-01-12 17-29-51: Main: 11760, Feed: 5.1312
2026-01-12 17-29-52: Main: 11790, Feed: 5.1312
2026-01-12 17-29-53: Main: 11820, Feed: 5.1312
2026-01-12 17-29-54: Main: 11850, Feed: 5.1312
2026-01-12 17-29-55: Main: 11880, Feed: 5.1312
2026-01-12 17-29-56: Main: 11910, Feed: 5.1312
2026-01-12 17-29-57: Main: 11925, Feed: 5.1312
2026-01-12 17-29-58: Main: 11955, Feed: 5.1312
2026-01-12 17-29-59: Main: 11985, Feed: 5.1312
2026-01-12 17-30-01: Main: 12015, Feed: 5.1312
2026-01-12 17-30-02: Main: 12045, Feed: 5.1312
2026-01-12 17-30-03: Main: 12075, Feed: 5.1312
2026-01-12 17-30-04: Main: 12105, Feed: 5.1312
2026-01-12 17-30-05: Main: 12135, Feed: 5.1312
2026-01-12 17-30-06: Main: 12165, Feed: 5.1312
2026-01-12 17-30-07: Main: 12195, Feed: 5.1312
2026-01-12 17-30-08: Main: 12225, Feed: 5.1312
2026-01-12 17-30-09: Main: 12240, Feed: 5.1312
2026-01-12 17-30-10: Main: 12270, Feed: 5.1312
2026-01-12 17-30-11: Main: 12300, Feed: 5.1312
2026-01-12 17-30-12: Main: 12330, Feed: 5.1312
2026-01-12 17-30-13: Main: 12360, Feed: 5.1312
2026-01-12 17-30-14: Main: 12390, Feed: 5.1312
2026-01-12 17-30-15: Main: 12420, Feed: 5.1312
